Table 1
,Latitude(id),Longitude(kendo),category,,,
,-25.3639,154.2041,Coal,,,
,-25.7603,154.1602,Coal,,,
,-23.5237,154.0723,Coal,,,
,-22.9989,154.0723,Coal,,,
,-22.3907,154.2480,Coal,,,
,-22.9179,151.9189,Coal,,,
,-22.9989,152.1826,Coal,,,
,-22.9584,152.9297,Coal,,,
,-22.3094,153.0615,Coal,,,
,-21.2894,154.0723,Coal,,,
,-20.0972,154.1162,Coal,,,
,-18.8127,153.5010,Coal,,,
,-18.1459,153.3252,Coal,,,
,-17.3506,152.8857,Coal,,,
,-19.5184,150.5127,Coal,,,
,-20.7561,149.8535,Coal,,,
,-19.4335,148.2275,Coal,,,
,-18.9790,147.4365,Coal,,,
,-18.6462,146.9971,Coal,,,
,-14.2218,152.4023,Coal,,,
,-10.4878,154.6875,Coal,,,
,-10.6606,152.2266,Coal,,,
,-10.0121,152.0068,Coal,,,
,-6.7519,153.7646,Coal,,,
,-8.1027,152.5342,Coal,,,
,-7.4496,150.2930,Coal,,,
,-7.7545,150.6006,Coal,,,
,-6.7519,148.6230,Coal,,,
,-5.1785,147.3047,Coal,,,
,-4.2588,147.1729,Coal,,,
,-3.4696,146.5137,Coal,,,
,-3.0308,152.0947,Coal,,,
,-3.0308,153.8525,Coal,,,
,-2.3285,154.1162,Coal,,,
,-2.3285,152.7979,Coal,,,
,-3.2502,152.0947,Coal,,,
,-3.1186,153.1055,Coal,,,
,-0.3076,152.6660,Coal,,,
,1.1425,153.1934,Coal,,,
,-3.3818,146.5576,Coal,,,
,-1.0546,144.8438,Coal,,,
,1.8893,144.5361,Coal,,,
,1.5818,143.8770,Coal,,,
,2.5919,144.0527,Coal,,,
,1.7136,140.5371,Coal,,,
,5.6160,143.0859,Coal,,,
,5.9220,143.5254,Coal,,,
,6.4463,141.3281,Coal,,,
,9.1201,141.3281,Coal,,,
,10.5742,149.4141,Coal,,,
,11.9533,142.3389,Coal,,,
,16.8466,138.5156,Coal,,,
,17.5602,138.6475,Coal,,,
,19.1036,138.0762,Coal,,,
,17.2667,133.0664,Coal,,,
,16.5520,131.7480,Coal,,,
,19.1036,131.5723,Coal,,,
,17.0148,148.3594,Coal,,,
,18.1876,147.0410,Coal,,,
,20.9614,149.1943,Coal,,,
,24.8466,145.5908,Coal,,,
,26.8241,145.0635,Coal,,,
